Entity,Code,Year,"Inflation, consumer prices (annual %)"
Afghanistan,AFG,2017,4.9759517
Afghanistan,AFG,2018,0.6261492
Afghanistan,AFG,2019,2.3023725
Afghanistan,AFG,2020,5.6018877
Afghanistan,AFG,2021,5.1332035
Afghanistan,AFG,2022,13.712102
Albania,ALB,2017,1.9866613
Albania,ALB,2018,2.0280597
Albania,ALB,2019,1.4110907
Albania,ALB,2020,1.6208866
Albania,ALB,2021,2.0414717
Albania,ALB,2022,6.7252026
Algeria,DZA,2017,5.591116
Algeria,DZA,2018,4.26999
Algeria,DZA,2019,1.9517682
Algeria,DZA,2020,2.4151309
Algeria,DZA,2021,7.2260633
Algeria,DZA,2022,9.265515
Angola,AGO,2017,29.84448
Angola,AGO,2018,19.628939
Angola,AGO,2019,17.080954
Angola,AGO,2020,22.27154
Angola,AGO,2021,25.754295
Angola,AGO,2022,21.35529
Antigua and Barbuda,ATG,2017,2.432488
Antigua and Barbuda,ATG,2018,1.207158
Antigua and Barbuda,ATG,2019,1.431356
Antigua and Barbuda,ATG,2020,0.62598974
Antigua and Barbuda,ATG,2021,2.0629964
Antigua and Barbuda,ATG,2022,7.5310783
Armenia,ARM,2017,0.9695533
Armenia,ARM,2018,2.5202339
Armenia,ARM,2019,1.4434466
Armenia,ARM,2020,1.2114358
Armenia,ARM,2021,7.1848364
Armenia,ARM,2022,8.640911
Aruba,ABW,2017,-1.0282818
Aruba,ABW,2018,3.6260414
Aruba,ABW,2019,4.257462
Australia,AUS,2017,1.9486474
Australia,AUS,2018,1.9114009
Australia,AUS,2019,1.6107678
Australia,AUS,2020,0.8469055
Australia,AUS,2021,2.8639104
Australia,AUS,2022,6.5940967
Austria,AUT,2017,2.081269
Austria,AUT,2018,1.9983798
Austria,AUT,2019,1.5308956
Austria,AUT,2020,1.3819107
Austria,AUT,2021,2.7666667
Austria,AUT,2022,8.54687
Azerbaijan,AZE,2017,12.935919
Azerbaijan,AZE,2018,2.2685468
Azerbaijan,AZE,2019,2.6105719
Azerbaijan,AZE,2020,2.7598095
Azerbaijan,AZE,2021,6.650299
Azerbaijan,AZE,2022,13.852259
Bahamas,BHS,2017,1.518207
Bahamas,BHS,2018,2.2658634
Bahamas,BHS,2019,2.4912353
Bahamas,BHS,2020,0.0385211
Bahamas,BHS,2021,2.9049127
Bahamas,BHS,2022,5.6054063
Bahrain,BHR,2017,1.3867183
Bahrain,BHR,2018,2.0876694
Bahrain,BHR,2019,1.00582
Bahrain,BHR,2020,-2.3177063
Bahrain,BHR,2021,-0.60631937
Bahrain,BHR,2022,3.625741
Bangladesh,BGD,2017,5.70207
Bangladesh,BGD,2018,5.5436215
Bangladesh,BGD,2019,5.591996
Bangladesh,BGD,2020,5.691075
Bangladesh,BGD,2021,5.5456543
Bangladesh,BGD,2022,7.6969543
Barbados,BRB,2017,4.660185
Barbados,BRB,2018,3.673814
Barbados,BRB,2019,4.10029
Belarus,BLR,2017,6.0318375
Belarus,BLR,2018,4.872302
Belarus,BLR,2019,5.598156
Belarus,BLR,2020,5.5481434
Belarus,BLR,2021,9.460284
Belarus,BLR,2022,15.209675
Belgium,BEL,2017,2.1259708
Belgium,BEL,2018,2.053165
Belgium,BEL,2019,1.4368196
Belgium,BEL,2020,0.7407918
Belgium,BEL,2021,2.4402485
Belgium,BEL,2022,9.597511
Belize,BLZ,2017,1.1476533
Belize,BLZ,2018,0.26998264
Belize,BLZ,2019,0.18706939
Belize,BLZ,2020,0.121434644
Belize,BLZ,2021,3.2356367
Belize,BLZ,2022,6.276893
Benin,BEN,2017,0.043264855
Benin,BEN,2018,0.91917074
Benin,BEN,2019,0.73284936
Benin,BEN,2020,3.0227213
Benin,BEN,2021,1.7335396
Benin,BEN,2022,1.3507786
Bhutan,BTN,2017,4.955084
Bhutan,BTN,2018,2.723964
Bhutan,BTN,2019,2.7264304
Bhutan,BTN,2020,5.6293654
Bhutan,BTN,2021,7.3468146
Bhutan,BTN,2022,5.639167
Bolivia,BOL,2017,2.822758
Bolivia,BOL,2018,2.27206
Bolivia,BOL,2019,1.839545
Bolivia,BOL,2020,0.94074214
Bolivia,BOL,2021,0.7373837
Bolivia,BOL,2022,1.7463287
Bosnia and Herzegovina,BIH,2017,0.81013334
Bosnia and Herzegovina,BIH,2018,1.4171082
Bosnia and Herzegovina,BIH,2019,0.56278217
Bosnia and Herzegovina,BIH,2020,-1.051296
Bosnia and Herzegovina,BIH,2021,1.981639
Bosnia and Herzegovina,BIH,2022,14.020844
Botswana,BWA,2017,3.3082807
Botswana,BWA,2018,3.2380157
Botswana,BWA,2019,2.7728643
Botswana,BWA,2020,1.8903592
Botswana,BWA,2021,7.240978
Botswana,BWA,2022,11.665567
Brazil,BRA,2017,3.4463735
Brazil,BRA,2018,3.6648502
Brazil,BRA,2019,3.7329762
Brazil,BRA,2020,3.2117682
Brazil,BRA,2021,8.30166
Brazil,BRA,2022,9.280107
Brunei,BRN,2017,-1.2605057
Brunei,BRN,2018,1.0250518
Brunei,BRN,2019,-0.39052206
Brunei,BRN,2020,1.94032
Brunei,BRN,2021,1.7334139
Brunei,BRN,2022,3.6822503
Bulgaria,BGR,2017,2.0615962
Bulgaria,BGR,2018,2.8145447
Bulgaria,BGR,2019,3.1037295
Bulgaria,BGR,2020,1.672441
Bulgaria,BGR,2021,3.2977443
Bulgaria,BGR,2022,15.325259
Burkina Faso,BFA,2017,1.482999
Burkina Faso,BFA,2018,1.955943
Burkina Faso,BFA,2019,-3.2333894
Burkina Faso,BFA,2020,1.88444
Burkina Faso,BFA,2021,3.653533
Burkina Faso,BFA,2022,14.2902355
Burundi,BDI,2017,16.052536
Burundi,BDI,2018,-2.814698
Burundi,BDI,2019,-0.68677217
Burundi,BDI,2020,7.3211064
Burundi,BDI,2021,8.404538
Burundi,BDI,2022,18.800879
Cambodia,KHM,2017,2.9126356
Cambodia,KHM,2018,2.4590852
Cambodia,KHM,2019,1.942575
Cambodia,KHM,2020,2.9402952
Cambodia,KHM,2021,2.920735
Cambodia,KHM,2022,5.343703
Cameroon,CMR,2017,0.6404092
Cameroon,CMR,2018,1.0688581
Cameroon,CMR,2019,2.4528022
Cameroon,CMR,2020,2.4376087
Cameroon,CMR,2021,2.2718577
Cameroon,CMR,2022,6.2476773
Canada,CAN,2017,1.5968841
Canada,CAN,2018,2.2682257
Canada,CAN,2019,1.949269
Canada,CAN,2020,0.71699965
Canada,CAN,2021,3.395193
Canada,CAN,2022,6.802801
Cape Verde,CPV,2017,0.78441525
Cape Verde,CPV,2018,1.2569957
Cape Verde,CPV,2019,1.1066667
Cape Verde,CPV,2020,0.6057958
Cape Verde,CPV,2021,1.8621529
Cape Verde,CPV,2022,7.930929
Central African Republic,CAF,2017,4.180723
Central African Republic,CAF,2018,1.6121569
Central African Republic,CAF,2019,2.6853735
Central African Republic,CAF,2020,1.7101566
Central African Republic,CAF,2021,4.259364
Central African Republic,CAF,2022,5.5831676
Chad,TCD,2017,-1.5370996
Chad,TCD,2018,4.274622
Chad,TCD,2019,-0.97193915
Chad,TCD,2020,4.464144
Chad,TCD,2021,-0.7728444
Chad,TCD,2022,5.788027
Chile,CHL,2017,2.1827185
Chile,CHL,2018,2.4348898
Chile,CHL,2019,2.5575447
Chile,CHL,2020,3.0454907
Chile,CHL,2021,4.5245686
Chile,CHL,2022,11.643867
China,CHN,2017,1.593136
China,CHN,2018,2.0747905
China,CHN,2019,2.899234
China,CHN,2020,2.419422
China,CHN,2021,0.98101515
China,CHN,2022,1.9735756
Colombia,COL,2017,4.3143134
Colombia,COL,2018,3.2405694
Colombia,COL,2019,3.5230193
Colombia,COL,2020,2.526635
Colombia,COL,2021,3.4950576
Colombia,COL,2022,10.177232
Congo,COG,2017,0.45006382
Congo,COG,2018,1.152779
Congo,COG,2019,2.206073
Congo,COG,2020,1.7953714
Congo,COG,2021,1.7156428
Congo,COG,2022,3.0434434
Costa Rica,CRI,2017,1.625907
Costa Rica,CRI,2018,2.2211146
Costa Rica,CRI,2019,2.0960464
Costa Rica,CRI,2020,0.72491145
Costa Rica,CRI,2021,1.7264775
Costa Rica,CRI,2022,8.274775
Cote d'Ivoire,CIV,2017,0.6858811
Cote d'Ivoire,CIV,2018,0.35940903
Cote d'Ivoire,CIV,2019,-1.1068635
Cote d'Ivoire,CIV,2020,2.4250066
Cote d'Ivoire,CIV,2021,4.091952
Cote d'Ivoire,CIV,2022,5.2761674
Croatia,HRV,2017,1.1293721
Croatia,HRV,2018,1.500125
Croatia,HRV,2019,0.77182037
Croatia,HRV,2020,0.15481137
Croatia,HRV,2021,2.554507
Croatia,HRV,2022,10.7805805
Curacao,CUW,2017,1.585588
Curacao,CUW,2018,2.5836875
Curacao,CUW,2019,2.6222079
Cyprus,CYP,2017,0.5317665
Cyprus,CYP,2018,1.4354912
Cyprus,CYP,2019,0.250371
Cyprus,CYP,2020,-0.6384228
Cyprus,CYP,2021,2.4460888
Cyprus,CYP,2022,8.395483
Czechia,CZE,2017,2.4505339
Czechia,CZE,2018,2.149495
Czechia,CZE,2019,2.847876
Czechia,CZE,2020,3.1612952
Czechia,CZE,2021,3.839845
Czechia,CZE,2022,15.100165
Denmark,DNK,2017,1.1471322
Denmark,DNK,2018,0.8136095
Denmark,DNK,2019,0.75813156
Denmark,DNK,2020,0.42071196
Denmark,DNK,2021,1.8530455
Denmark,DNK,2022,7.696567
Djibouti,DJI,2017,0.56811213
Djibouti,DJI,2018,0.14797086
Djibouti,DJI,2019,3.3192537
Djibouti,DJI,2020,1.7774079
Djibouti,DJI,2021,1.1819178
Djibouti,DJI,2022,5.1798086
Dominica,DMA,2017,0.29625288
Dominica,DMA,2018,0.9891911
Dominica,DMA,2019,1.5046235
Dominica,DMA,2020,1.2202644
Dominica,DMA,2021,2.2289133
Dominica,DMA,2022,2.8849022
Dominican Republic,DOM,2017,3.279557
Dominican Republic,DOM,2018,3.5644343
Dominican Republic,DOM,2019,1.8106037
Dominican Republic,DOM,2020,3.7810318
Dominican Republic,DOM,2021,8.243004
Dominican Republic,DOM,2022,8.811092
East Asia and Pacific (WB),,2017,1.8003422
East Asia and Pacific (WB),,2018,2.368549
East Asia and Pacific (WB),,2019,1.7039787
East Asia and Pacific (WB),,2020,0.8469055
East Asia and Pacific (WB),,2021,2.4771025
East Asia and Pacific (WB),,2022,5.3459544
East Timor,TLS,2017,0.5572155
East Timor,TLS,2018,2.636472
East Timor,TLS,2019,0.9588127
East Timor,TLS,2020,0.49549922
East Timor,TLS,2021,3.697921
East Timor,TLS,2022,7.0053096
Ecuador,ECU,2017,0.4173356
Ecuador,ECU,2018,-0.22410324
Ecuador,ECU,2019,0.26601252
Ecuador,ECU,2020,-0.3388724
Ecuador,ECU,2021,0.13325138
Ecuador,ECU,2022,3.4661698
Egypt,EGY,2017,29.506609
Egypt,EGY,2018,14.401465
Egypt,EGY,2019,9.1528
Egypt,EGY,2020,5.044933
Egypt,EGY,2021,5.2140493
Egypt,EGY,2022,13.895661
El Salvador,SLV,2017,1.012354
El Salvador,SLV,2018,1.09033
El Salvador,SLV,2019,0.07532413
El Salvador,SLV,2020,-0.37159023
El Salvador,SLV,2021,3.4669259
El Salvador,SLV,2022,7.198616
Equatorial Guinea,GNQ,2017,0.7443547
Equatorial Guinea,GNQ,2018,1.0600741
Equatorial Guinea,GNQ,2019,1.5302753
Equatorial Guinea,GNQ,2020,4.766695
Equatorial Guinea,GNQ,2021,-0.097100765
Equatorial Guinea,GNQ,2022,4.786717
Estonia,EST,2017,3.4172356
Estonia,EST,2018,3.436327
Estonia,EST,2019,2.2772593
Estonia,EST,2020,-0.44453108
Estonia,EST,2021,4.653167
Estonia,EST,2022,19.398264
Eswatini,SWZ,2017,6.2213755
Eswatini,SWZ,2018,4.8150616
Eswatini,SWZ,2019,2.5980163
Ethiopia,ETH,2017,10.687115
Ethiopia,ETH,2018,13.833035
Ethiopia,ETH,2019,15.809632
Ethiopia,ETH,2020,20.356346
Ethiopia,ETH,2021,26.839521
Ethiopia,ETH,2022,33.88988
Europe and Central Asia (WB),,2017,1.9155885
Europe and Central Asia (WB),,2018,2.0132198
Europe and Central Asia (WB),,2019,1.7637359
Europe and Central Asia (WB),,2020,1.199984
Europe and Central Asia (WB),,2021,3.1901777
Europe and Central Asia (WB),,2022,10.7805805
European Union (27),,2017,1.4291074
European Union (27),,2018,1.7386086
European Union (27),,2019,1.6305226
European Union (27),,2020,0.47649884
European Union (27),,2021,2.554507
European Union (27),,2022,8.833699
Fiji,FJI,2017,3.3475783
Fiji,FJI,2018,4.081476
Fiji,FJI,2019,1.7731018
Fiji,FJI,2020,-2.5952432
Fiji,FJI,2021,0.15585572
Fiji,FJI,2022,4.3201184
Finland,FIN,2017,0.754015
Finland,FIN,2018,1.0838209
Finland,FIN,2019,1.024094
Finland,FIN,2020,0.29055455
Finland,FIN,2021,2.1945744
Finland,FIN,2022,7.1235075
France,FRA,2017,1.0322827
France,FRA,2018,1.850815
France,FRA,2019,1.1082549
France,FRA,2020,0.47649884
France,FRA,2021,1.6423314
France,FRA,2022,5.2223673
Gabon,GAB,2017,2.6519258
Gabon,GAB,2018,4.7490664
Gabon,GAB,2019,2.4645677
Gabon,GAB,2020,1.3527611
Gabon,GAB,2021,1.0869075
Gabon,GAB,2022,4.231248
Gambia,GMB,2017,8.03419
Gambia,GMB,2018,6.5209684
Gambia,GMB,2019,7.1156764
Gambia,GMB,2020,5.9312763
Gambia,GMB,2021,7.3703475
Gambia,GMB,2022,11.51312
Georgia,GEO,2017,6.0353174
Georgia,GEO,2018,2.6152446
Georgia,GEO,2019,4.852898
Georgia,GEO,2020,5.202465
Georgia,GEO,2021,9.566915
Georgia,GEO,2022,11.898166
Germany,DEU,2017,1.5094949
Germany,DEU,2018,1.7321688
Germany,DEU,2019,1.4456598
Germany,DEU,2020,0.14487793
Germany,DEU,2021,3.0666666
Germany,DEU,2022,6.8725743
Ghana,GHA,2017,12.371922
Ghana,GHA,2018,7.808765
Ghana,GHA,2019,7.14364
Ghana,GHA,2020,9.88729
Ghana,GHA,2021,9.971088
Ghana,GHA,2022,31.255896
Greece,GRC,2017,1.1212546
Greece,GRC,2018,0.62562144
Greece,GRC,2019,0.25300753
Greece,GRC,2020,-1.2479836
Greece,GRC,2021,1.223825
Greece,GRC,2022,9.64526
Grenada,GRD,2017,0.90845823
Grenada,GRD,2018,0.8041023
Grenada,GRD,2019,0.5981498
Grenada,GRD,2020,-0.7407326
Grenada,GRD,2021,1.219512
Grenada,GRD,2022,2.5805392
Guatemala,GTM,2017,4.4245367
Guatemala,GTM,2018,3.7518618
Guatemala,GTM,2019,3.699984
Guatemala,GTM,2020,3.2144406
Guatemala,GTM,2021,4.261051
Guatemala,GTM,2022,6.885128
Guinea,GIN,2017,8.914359
Guinea,GIN,2018,9.827617
Guinea,GIN,2019,9.470011
Guinea,GIN,2020,10.601621
Guinea,GIN,2021,12.597288
Guinea,GIN,2022,10.493041
Guinea-Bissau,GNB,2017,1.6911147
Guinea-Bissau,GNB,2018,0.3813247
Guinea-Bissau,GNB,2019,0.24660027
Guinea-Bissau,GNB,2020,1.1400094
Guinea-Bissau,GNB,2021,2.2424889
Guinea-Bissau,GNB,2022,9.390759
Guyana,GUY,2017,1.9046562
Guyana,GUY,2018,1.2828429
Guyana,GUY,2019,2.087231
Guyana,GUY,2020,0.99333704
Guyana,GUY,2021,5.0328555
Guyana,GUY,2022,6.1150556
Haiti,HTI,2017,10.680089
Haiti,HTI,2018,12.481411
Haiti,HTI,2019,18.703783
Haiti,HTI,2020,22.79631
Haiti,HTI,2021,16.841524
Haiti,HTI,2022,33.983932
High-income countries,,2017,1.5890942
High-income countries,,2018,1.881108
High-income countries,,2019,1.6151999
High-income countries,,2020,0.5989863
High-income countries,,2021,2.518371
High-income countries,,2022,7.3516517
Honduras,HND,2017,3.9343607
Honduras,HND,2018,4.347349
Honduras,HND,2019,4.3658714
Honduras,HND,2020,3.4684117
Honduras,HND,2021,4.48088
Honduras,HND,2022,9.089639
Hong Kong,HKG,2017,1.4938724
Hong Kong,HKG,2018,2.4061344
Hong Kong,HKG,2019,2.8832085
Hong Kong,HKG,2020,0.25096202
Hong Kong,HKG,2021,1.5687584
Hong Kong,HKG,2022,1.8813671
Hungary,HUN,2017,2.3482428
Hungary,HUN,2018,2.8502479
Hungary,HUN,2019,3.3385863
Hungary,HUN,2020,3.3267438
Hungary,HUN,2021,5.1109653
Hungary,HUN,2022,14.608144
Iceland,ISL,2017,1.7604156
Iceland,ISL,2018,2.6829176
Iceland,ISL,2019,3.0139718
Iceland,ISL,2020,2.847924
Iceland,ISL,2021,4.4442396
Iceland,ISL,2022,8.308755
India,IND,2017,3.3281734
India,IND,2018,3.9388266
India,IND,2019,3.7295058
India,IND,2020,6.623437
India,IND,2021,5.1314073
India,IND,2022,6.699034
Indonesia,IDN,2017,3.808798
Indonesia,IDN,2018,3.1983464
Indonesia,IDN,2019,3.0305867
Indonesia,IDN,2020,1.920968
Indonesia,IDN,2021,1.5601299
Indonesia,IDN,2022,4.2094636
Iran,IRN,2017,8.044925
Iran,IRN,2018,18.014118
Iran,IRN,2019,39.907345
Iran,IRN,2020,30.59414
Iran,IRN,2021,43.389015
Iran,IRN,2022,43.488464
Iraq,IRQ,2017,0.1840589
Iraq,IRQ,2018,0.36744148
Iraq,IRQ,2019,-0.19896539
Iraq,IRQ,2020,0.57416266
Iraq,IRQ,2021,6.041865
Iraq,IRQ,2022,4.9947658
Ireland,IRL,2017,0.36217305
Ireland,IRL,2018,0.4711307
Ireland,IRL,2019,0.93784297
Ireland,IRL,2020,-0.32618365
Ireland,IRL,2021,2.340341
Ireland,IRL,2022,7.8294573
Israel,ISR,2017,0.25941497
Israel,ISR,2018,0.79407567
Israel,ISR,2019,0.8497831
Israel,ISR,2020,-0.61441237
Israel,ISR,2021,1.53022
Israel,ISR,2022,4.4099784
Italy,ITA,2017,1.2265332
Italy,ITA,2018,1.1374876
Italy,ITA,2019,0.61124694
Italy,ITA,2020,-0.13770758
Italy,ITA,2021,1.8737832
Italy,ITA,2022,8.20129
Jamaica,JAM,2017,4.3783984
Jamaica,JAM,2018,3.7366388
Jamaica,JAM,2019,3.9051
Jamaica,JAM,2020,5.226778
Jamaica,JAM,2021,5.8627825
Jamaica,JAM,2022,10.349568
Japan,JPN,2017,0.4841998
Japan,JPN,2018,0.9890946
Japan,JPN,2019,0.46877617
Japan,JPN,2020,-0.024995834
Japan,JPN,2021,-0.23335278
Japan,JPN,2022,2.4977028
Jordan,JOR,2017,3.3238945
Jordan,JOR,2018,4.4623113
Jordan,JOR,2019,0.76151407
Jordan,JOR,2020,0.33329436
Jordan,JOR,2021,1.3460938
Jordan,JOR,2022,4.2291555
Kazakhstan,KAZ,2017,7.442663
Kazakhstan,KAZ,2018,6.1636624
Kazakhstan,KAZ,2019,5.333561
Kazakhstan,KAZ,2020,6.7181544
Kazakhstan,KAZ,2021,8.0414715
Kazakhstan,KAZ,2022,15.027864
Kenya,KEN,2017,8.00565
Kenya,KEN,2018,4.6898065
Kenya,KEN,2019,5.239638
Kenya,KEN,2020,5.405162
Kenya,KEN,2021,6.107936
Kenya,KEN,2022,7.6598625
Kiribati,KIR,2017,0.35552087
Kiribati,KIR,2018,0.56403047
Kiribati,KIR,2019,-1.81308
Kiribati,KIR,2020,2.5532455
Kiribati,KIR,2021,2.0536168
Kiribati,KIR,2022,5.3459544
Kosovo,OWID_KOS,2017,1.4882343
Kosovo,OWID_KOS,2018,1.0537977
Kosovo,OWID_KOS,2019,2.675992
Kosovo,OWID_KOS,2020,0.19822793
Kosovo,OWID_KOS,2021,3.3536913
Kosovo,OWID_KOS,2022,11.58051
Kuwait,KWT,2017,2.171833
Kuwait,KWT,2018,0.54313314
Kuwait,KWT,2019,1.091848
Kuwait,KWT,2020,2.1017296
Kuwait,KWT,2021,3.4236295
Kuwait,KWT,2022,3.9806497
Kyrgyzstan,KGZ,2017,3.17531
Kyrgyzstan,KGZ,2018,1.5426614
Kyrgyzstan,KGZ,2019,1.1336225
Kyrgyzstan,KGZ,2020,6.325423
Kyrgyzstan,KGZ,2021,11.90504
Kyrgyzstan,KGZ,2022,13.92291
Laos,LAO,2017,0.8254786
Laos,LAO,2018,2.0403926
Laos,LAO,2019,3.3225589
Laos,LAO,2020,5.1040726
Laos,LAO,2021,3.7556205
Laos,LAO,2022,22.956223
Latin America and Caribbean (WB),,2017,2.1920102
Latin America and Caribbean (WB),,2018,2.3241448
Latin America and Caribbean (WB),,2019,2.252122
Latin America and Caribbean (WB),,2020,1.2202644
Latin America and Caribbean (WB),,2021,3.4950576
Latin America and Caribbean (WB),,2022,7.5310783
Latvia,LVA,2017,2.9303632
Latvia,LVA,2018,2.5344543
Latvia,LVA,2019,2.8114092
Latvia,LVA,2020,0.2190649
Latvia,LVA,2021,3.2758293
Latvia,LVA,2022,17.310284
Lebanon,LBN,2017,4.321352
Lebanon,LBN,2018,6.076989
Lebanon,LBN,2019,3.0053895
Lebanon,LBN,2020,84.864334
Lebanon,LBN,2021,154.7561
Lebanon,LBN,2022,171.20549
Lesotho,LSO,2017,4.4476995
Lesotho,LSO,2018,4.751803
Lesotho,LSO,2019,5.1870837
Lesotho,LSO,2020,4.978097
Lesotho,LSO,2021,6.0477457
Lesotho,LSO,2022,8.271804
Liberia,LBR,2017,12.419632
Liberia,LBR,2018,23.563515
Liberia,LBR,2019,26.966276
Liberia,LBR,2020,16.955725
Liberia,LBR,2021,7.8155937
Liberia,LBR,2022,7.5929847
Libya,LBY,2017,25.80362
Libya,LBY,2018,13.170204
